Date,Enseigne,Article,Prix
08/05/2017,Colruyt,Coca 33cl,0.49
17/08/2017,Colruyt,Salade Caesar,3.39
22/10/2017,Carrefour,Lays 45gr,0.62
24/01/2018,Colruyt,Kinder Maxi,1.99
07/03/2018,Match,Coca 33cl,0.65
24/04/2018,Colruyt,Coca 33cl,0.54
03/05/2018,Colruyt,Coca 33cl,0.63
06/06/2018,Match,Coca 33cl,0.66
08/06/2018,Match,Coca 33cl,0.68
09/07/2018,Colruyt,Coca 15cl,0.48
09/07/2018,Colruyt,Lays 45gr,0.63
02/08/2018,Match,Lays 45gr,0.59
02/08/2018,Match,Coca 33cl,0.68
02/08/2018,Match,Aiki Noodles,1.39
02/08/2018,Match,Heinz Tomato 500,1.77
02/08/2018,Match,Coca 15cl,0.50
19/08/2018,Delhaize,Coca 15cl,0.51
22/08/2018,Spar,Coca 15cl,0.48
22/08/2018,Spar,Coca 33cl,0.66
16/08/2021,Colruyt,Phil Light 320,2.85
16/08/2021,Colruyt,Boni Ravioli,0.79
30/07/2022,Carrefour,Coca 33cl,0.76
14/07/2022,Colruyt,Coca 15cl,0.56
30/07/2022,Carrefour,Coca 15cl,0.56
13/07/2022,Colruyt,Lays 45gr,0.69
13/07/2022,Delhaize,Lays 45gr,0.69
30/07/2022,Carrefour,Heinz Tomato 500,2.45
16/07/2022,Delhaize,Aiki Noodles,1.49
16/07/2022,Carrefour,Aiki Noodles,1.70
30/07/2022,Carrefour,Aiki Noodles,1.70
14/07/2022,Colruyt,Aiki Noodles,1.49
09/07/2022,Match,Fanta Zero 33cl,0.80
18/07/2022,Delhaize,Fanta Zero 33cl,0.79
13/07/2022,Colruyt,Fanta Zero 33cl,0.75
30/07/2022,Carrefour,Fanta Zero 33cl,0.79
30/07/2022,Carrefour,Kinder Maxi,1.99
13/07/2022,Colruyt,Kinder Maxi,2.15
13/07/2022,Colruyt,Boni Ravioli,0.89
13/07/2022,Colruyt,Calvé Mayo 650,2.93
01/06/2022,Colruyt,Calvé Mayo 650,2.87
